institution_name,term_year,term_semester,lead_source,stage,event_year,event_month,event_month_name,stage_count
Central Washington University,2024,Fall,Analytics,admits,2023,7,Jul,1
Central Washington University,2024,Fall,Analytics,admits,2023,10,Oct,1
Central Washington University,2024,Fall,Analytics,admits,2023,11,Nov,4
Central Washington University,2024,Fall,Analytics,admits,2023,12,Dec,6
Central Washington University,2024,Fall,Analytics,admits,2024,1,Jan,2
Central Washington University,2024,Fall,Analytics,admits,2024,2,Feb,3
Central Washington University,2024,Fall,Analytics,admits,2024,3,Mar,1
Central Washington University,2024,Fall,Analytics,admits,2024,4,Apr,2
Central Washington University,2024,Fall,Analytics,admits,2024,5,May,5
Central Washington University,2024,Fall,Analytics,admits,2024,6,Jun,6
Central Washington University,2024,Fall,Analytics,admits,2024,7,Jul,43
Central Washington University,2024,Fall,Analytics,admits,2024,8,Aug,33
Central Washington University,2024,Fall,Analytics,admits,2024,9,Sep,15
Central Washington University,2024,Fall,Analytics,admits,2025,5,May,1
Central Washington University,2024,Fall,Analytics,admits,2025,12,Dec,1
Central Washington University,2025,Fall,Analytics,admits,2023,11,Nov,1
Central Washington University,2025,Fall,Analytics,admits,2023,12,Dec,2
Central Washington University,2025,Fall,Analytics,admits,2024,1,Jan,2
Central Washington University,2025,Fall,Analytics,admits,2024,2,Feb,1
Central Washington University,2025,Fall,Analytics,admits,2024,4,Apr,1
Central Washington University,2025,Fall,Analytics,admits,2024,5,May,1
Central Washington University,2025,Fall,Analytics,admits,2024,6,Jun,6
Central Washington University,2025,Fall,Analytics,admits,2024,7,Jul,11
Central Washington University,2025,Fall,Analytics,admits,2024,8,Aug,20
Central Washington University,2025,Fall,Analytics,admits,2024,9,Sep,41
Central Washington University,2025,Fall,Analytics,admits,2024,10,Oct,72
Central Washington University,2025,Fall,Analytics,admits,2024,11,Nov,15
Central Washington University,2025,Fall,Analytics,admits,2025,12,Dec,1
Central Washington University,2026,Fall,Analytics,admits,2024,8,Aug,1
Central Washington University,2024,Fall,Analytics,app_starts,2018,11,Nov,1
Central Washington University,2024,Fall,Analytics,app_starts,2019,9,Sep,3
Central Washington University,2024,Fall,Analytics,app_starts,2019,11,Nov,1
Central Washington University,2024,Fall,Analytics,app_starts,2020,1,Jan,1
Central Washington University,2024,Fall,Analytics,app_starts,2020,4,Apr,2
Central Washington University,2024,Fall,Analytics,app_starts,2020,9,Sep,2
Central Washington University,2024,Fall,Analytics,app_starts,2020,10,Oct,2
Central Washington University,2024,Fall,Analytics,app_starts,2020,11,Nov,2
Central Washington University,2024,Fall,Analytics,app_starts,2021,1,Jan,1
Central Washington University,2024,Fall,Analytics,app_starts,2021,3,Mar,1
Central Washington University,2024,Fall,Analytics,app_starts,2021,4,Apr,1
Central Washington University,2024,Fall,Analytics,app_starts,2021,10,Oct,2
Central Washington University,2024,Fall,Analytics,app_starts,2021,11,Nov,2
Central Washington University,2024,Fall,Analytics,app_starts,2021,12,Dec,4
Central Washington University,2024,Fall,Analytics,app_starts,2022,1,Jan,5
Central Washington University,2024,Fall,Analytics,app_starts,2022,3,Mar,2
Central Washington University,2024,Fall,Analytics,app_starts,2022,8,Aug,1
Central Washington University,2024,Fall,Analytics,app_starts,2022,12,Dec,2
Central Washington University,2024,Fall,Analytics,app_starts,2023,1,Jan,2
Central Washington University,2024,Fall,Analytics,app_starts,2023,3,Mar,2
Central Washington University,2024,Fall,Analytics,app_starts,2023,6,Jun,1
Central Washington University,2024,Fall,Analytics,app_starts,2023,9,Sep,1
Central Washington University,2024,Fall,Analytics,app_starts,2023,10,Oct,3
Central Washington University,2024,Fall,Analytics,app_starts,2023,11,Nov,4
Central Washington University,2024,Fall,Analytics,app_starts,2023,12,Dec,6
Central Washington University,2024,Fall,Analytics,app_starts,2024,1,Jan,5
Central Washington University,2024,Fall,Analytics,app_starts,2024,2,Feb,5
Central Washington University,2024,Fall,Analytics,app_starts,2024,3,Mar,2
Central Washington University,2024,Fall,Analytics,app_starts,2024,4,Apr,4
Central Washington University,2024,Fall,Analytics,app_starts,2024,5,May,10
Central Washington University,2024,Fall,Analytics,app_starts,2024,6,Jun,27
Central Washington University,2024,Fall,Analytics,app_starts,2024,7,Jul,32
Central Washington University,2024,Fall,Analytics,app_starts,2024,8,Aug,17
Central Washington University,2024,Fall,Analytics,app_starts,2024,9,Sep,7
Central Washington University,2024,Fall,Analytics,app_starts,2024,10,Oct,2
Central Washington University,2024,Fall,Analytics,app_starts,2025,5,May,1
Central Washington University,2024,Fall,Analytics,app_starts,2025,12,Dec,1
Central Washington University,2024,Fall,Analytics,app_starts,2026,3,Mar,1
Central Washington University,2025,Fall,Analytics,app_starts,2019,12,Dec,1
Central Washington University,2025,Fall,Analytics,app_starts,2020,5,May,1
Central Washington University,2025,Fall,Analytics,app_starts,2023,1,Jan,1
Central Washington University,2025,Fall,Analytics,app_starts,2023,9,Sep,4
Central Washington University,2025,Fall,Analytics,app_starts,2023,10,Oct,2
Central Washington University,2025,Fall,Analytics,app_starts,2023,11,Nov,1
Central Washington University,2025,Fall,Analytics,app_starts,2023,12,Dec,3
Central Washington University,2025,Fall,Analytics,app_starts,2024,1,Jan,2
Central Washington University,2025,Fall,Analytics,app_starts,2024,2,Feb,1
Central Washington University,2025,Fall,Analytics,app_starts,2024,3,Mar,1
Central Washington University,2025,Fall,Analytics,app_starts,2024,4,Apr,3
Central Washington University,2025,Fall,Analytics,app_starts,2024,5,May,2
Central Washington University,2025,Fall,Analytics,app_starts,2024,6,Jun,6
Central Washington University,2025,Fall,Analytics,app_starts,2024,7,Jul,15
Central Washington University,2025,Fall,Analytics,app_starts,2024,8,Aug,28
Central Washington University,2025,Fall,Analytics,app_starts,2024,9,Sep,46
