region,rows,impressions,pct_impressions
WA,109,25188228,40.36
Unknown,100,24234566,38.83
OR,108,4544856,7.28
CA,113,4393366,7.04
ID,103,1020287,1.63
CO,60,536981,0.86
AR,49,225697,0.36
TX,85,213636,0.34
MT,55,190425,0.31
AK,52,139310,0.22
NY,62,136921,0.22
FL,65,135350,0.22
AZ,47,116793,0.19
IL,52,94071,0.15
PA,54,78927,0.13
OH,60,73234,0.12
HI,42,69482,0.11
NC,53,65369,0.1
VA,50,61516,0.1
GA,55,59804,0.1
MI,54,58672,0.09
UT,40,57266,0.09
NV,43,53201,0.09
MA,43,52116,0.08
MN,47,50472,0.08
MO,55,49558,0.08
WI,53,49257,0.08
NJ,37,42651,0.07
TN,54,40902,0.07
MD,42,40094,0.06
IN,54,35436,0.06
AL,50,24017,0.04
SC,49,23926,0.04
CT,40,23557,0.04
IA,51,23534,0.04
KS,42,23363,0.04
KY,48,19478,0.03
LA,55,18125,0.03
OK,42,17759,0.03
NE,44,16968,0.03
NM,39,16926,0.03
DC,41,14862,0.02
ME,45,11725,0.02
WY,40,11022,0.02
NH,37,10280,0.02
ND,43,10067,0.02
MS,49,9619,0.02
SD,42,7176,0.01
WV,49,6931,0.01
RI,39,6211,0.01
DE,36,5967,0.01
VT,40,4762,0.01
International,3,4,0.0
