client_name,group_name,subgroup_name,product_name,platform_campaign_name,campaign_name,creative,ad_description,image_url,ad_url,preview_url,ad_group,day,impressions,clicks,direct_conversions,view_through_conversions,in_platform_leads,total_conversions,cost,budget,video_starts,video_completions,video_avg
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-04,4503,1,0,0,0,0,,63.63,4479,2528,55.918
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-05,11059,4,0,0,0,0,,147.2,11003,6932,62.673
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-06,14167,1,0,0,0,0,,146.95,14061,8357,58.862
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-07,14291,2,0,0,0,0,,146.65,14187,8433,58.757
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-08,13870,2,0,0,0,0,,150.22,13795,8570,61.42
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-09,13099,4,0,0,0,0,,149.59,13027,8149,61.905
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-10,13186,0,0,0,0,0,,150.8,13109,8077,60.951
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-11,13165,3,0,0,0,0,,150.7,13084,8123,61.58
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-12,13141,3,0,0,0,0,,150.74,13066,8050,61.145
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-13,13413,2,0,0,0,0,,151.32,13349,8181,61.045
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-14,13316,1,0,0,0,0,,151.14,13244,8092,60.739
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-15,13320,0,0,0,0,0,,151,13262,8368,62.785
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-16,31653,0,0,0,0,0,,61.71,563,99,1.82
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-16,7900,1,0,0,0,0,,90.14,7857,4926,62.38
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-17,33153,0,0,0,0,0,,60.48,523,124,1.593
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-17,7906,1,0,0,0,0,,90.47,7861,4810,60.954
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-18,32394,0,0,0,0,0,,60.93,554,106,1.735
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-18,7730,2,0,0,0,0,,90.33,7685,4674,60.44
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-19,31695,0,0,0,0,0,,60.54,534,123,1.71
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-19,7642,1,0,0,0,0,,90.64,7612,4760,62.314
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-20,33684,0,0,0,0,0,,61.27,448,115,1.398
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-20,8011,2,0,0,0,0,,90.54,7973,4784,59.68
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery,2024-01-21,31262,0,0,0,0,0,,60.6,430,131,1.414
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream,2024-01-21,7909,1,0,0,0,0,,90.58,7859,4850,61.398
