institution_name,institution_state,student_state,student_city,term_year,term_semester,total_inquiries,total_app_starts,total_app_submits,total_admits,total_deposits,total_net_deposits,total_enrolled
Central Washington University,WA,WA,Tacoma,2026,Fall,822,347,293,251,67,67,68
Central Washington University,WA,WA,Yakima,2025,Fall,786,392,312,267,141,112,149
Central Washington University,WA,WA,Tacoma,2025,Fall,772,333,281,239,86,64,88
Central Washington University,WA,WA,Pasco,2026,Fall,664,104,76,70,13,11,14
Central Washington University,WA,WA,Yakima,2026,Fall,637,346,275,237,114,111,111
Central Washington University,WA,WA,Seattle,2026,Fall,581,331,314,290,52,50,51
Central Washington University,WA,WA,Seattle,2025,Fall,520,292,257,234,52,43,56
Central Washington University,WA,WA,Pasco,2025,Fall,444,103,73,63,15,14,16
Central Washington University,WA,WA,Olympia,2026,Fall,440,157,141,128,37,37,39
Central Washington University,WA,WA,Vancouver,2026,Fall,432,240,215,194,45,44,46
Central Washington University,WA,WA,Puyallup,2025,Fall,431,262,222,196,80,66,82
Central Washington University,WA,WA,Spokane,2026,Fall,428,153,131,117,27,27,28
Central Washington University,WA,WA,Yakima,2024,Fall,401,387,316,281,135,103,146
Central Washington University,WA,CA,Los Angeles,2026,Fall,373,5,4,4,0,0,0
Central Washington University,WA,WA,Tacoma,2024,Fall,367,358,316,288,78,60,80
Central Washington University,WA,WA,Vancouver,2025,Fall,357,281,243,217,60,44,60
Central Washington University,WA,WA,Spokane,2025,Fall,353,165,134,121,35,24,36
Central Washington University,WA,WA,Kent,2026,Fall,352,177,165,149,39,35,38
Central Washington University,WA,WA,Olympia,2025,Fall,336,164,137,124,31,29,35
Central Washington University,WA,WA,Pasco,2024,Fall,300,127,102,93,25,14,27
Central Washington University,WA,HI,Honolulu,2026,Fall,294,18,14,14,3,3,3
Central Washington University,WA,WA,Puyallup,2026,Fall,291,207,174,156,52,51,54
Central Washington University,WA,WA,Kent,2025,Fall,279,188,172,146,42,30,44
Central Washington University,WA,WA,Kennewick,2026,Fall,277,85,75,68,17,16,19
Central Washington University,WA,WA,Richland,2026,Fall,276,91,82,68,20,20,20
Central Washington University,WA,WA,Seattle,2024,Fall,272,331,315,297,49,34,54
Central Washington University,WA,WA,Bothell,2026,Fall,262,111,97,86,16,16,15
Central Washington University,WA,CA,Los Angeles,2025,Fall,258,1,1,1,0,0,0
Central Washington University,WA,WA,Kennewick,2025,Fall,252,97,73,68,25,20,25
Central Washington University,WA,WA,Maple Valley,2026,Fall,242,96,88,87,15,15,15
Central Washington University,WA,WA,Richland,2025,Fall,241,108,93,85,23,18,24
Central Washington University,WA,WA,Gig Harbor,2026,Fall,232,83,76,74,31,31,31
Central Washington University,WA,WA,Vancouver,2024,Fall,231,256,221,211,46,28,47
Central Washington University,WA,WA,Renton,2026,Fall,224,165,146,128,28,25,29
Central Washington University,WA,WA,Auburn,2025,Fall,223,156,141,130,42,36,44
Central Washington University,WA,WA,Renton,2025,Fall,203,173,154,143,42,32,44
Central Washington University,WA,WA,Auburn,2026,Fall,202,165,143,130,29,28,29
Central Washington University,WA,WA,Ellensburg,2026,Fall,200,117,100,89,45,45,49
