institution_name,term_year,term_semester,student_type,is_international,origin_source_first,student_state,program_level,program_name,event_year,event_month,event_month_name,total_prospects,total_inquiries,total_app_starts,total_app_submits,total_admits,total_deposits,total_net_deposits,total_enrolled
Central Washington University,2024,Fall,Transfer,false,Studentpaths,WA,,elementary education baed,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,geology,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,,2018,8,Aug,0,2,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Cappex,,,accounting,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,,,elementary education baed,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,WA,,elementary education baed,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Studentpaths,,,psychology,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,public health population health,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,,,,2018,8,Aug,3,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,TX,,information technology management bas information technology,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,elementary education baed,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,business administration bsba business,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,GAP - Seniors,,,,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,,,spanish applied linguistics,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Appointments: Virtual,,,,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Halda Form,WA,,,2018,8,Aug,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,ems paramedicine,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,public relations,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Studentpaths,WA,,computer science,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,communication,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,,,accounting,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,early childhood education,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,WA,,art,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,,,,2018,8,Aug,0,3,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,WA,,physical education and school health,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,elementary education baed,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,,,hospitality tourism and event management hospitality management,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,computer science,2018,8,Aug,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,,,biology,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,psychology,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Cappex,WA,,elementary education baed,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,psychology,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Board,,,,2018,8,Aug,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,accounting,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,true,Cappex,WA,,business administration bsba business analytics,2018,8,Aug,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,accounting,2018,8,Aug,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,mathematics secondary education,2018,8,Aug,1,0,0,0,0,0,0,0
