client_name,group_name,subgroup_name,product_name,campaign_name,conversion_name,interaction_category,day,event_year,event_month,event_month_name,direct_conversions,view_through_conversions,in_platform_leads,total_interactions,cost,budget
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-04,2024,1,Jan,0,0,0,0,,63.63
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-04,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-05,2024,1,Jan,0,0,0,0,,147.2
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-05,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-06,2024,1,Jan,0,0,0,0,,146.95
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-06,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-07,2024,1,Jan,0,0,0,0,,146.65
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-07,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-08,2024,1,Jan,0,0,0,0,,150.22
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-08,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Unknown,Other,2024-01-09,2024,1,Jan,0,0,0,0,,149.59
Central Washington University,UG,UG,Snapchat Snap Ads,Central Washington University - UG - Snapchat,In-platform social lead gen,RFI/Lead Gen,2024-01-09,2024,1,Jan,0,0,0,0,,0
Central Washington University,UG,UG,PPC,Central Washington University - UG - PPC - WA,UG - Apply - Application Submission - Slate,Apply,2024-01-10,2024,1,Jan,1,0,0,1,,0
